text,label
delirious fun .,very_positive
"unofficially , national lampoon 's van wilder is son of animal house .",neutral
"if not a home run , then at least a solid base hit .",positive
"in the end , all you can do is admire the ensemble players and wonder what the point of it is .",neutral
demeo is not without talent ; he just needs better material .,neutral
"it 's definitely not made for kids or their parents , for that matter , and i think even fans of sandler 's comic taste may find it uninteresting .",negative
"quitting , however , manages just to be depressing , as the lead actor phones in his autobiographical performance .",negative
"combines sharp comedy , old-fashioned monster movie atmospherics , and genuine heart to create a film that 's not merely about kicking undead \*\*\* , but also about dealing with regret and , ultimately , finding redemption .",very_positive
no amount of good intentions is able to overcome the triviality of the story .,very_negative
a devastating indictment of unbridled greed and materalism .,very_negative
there is nothing funny in this every-joke-has - been-told-a - thousand-times - before movie .,very_negative
"evokes the frustration , the awkwardness and the euphoria of growing up , without relying on the usual tropes .",negative
"director tom dey demonstrated a knack for mixing action and idiosyncratic humor in his charming 2000 debut shanghai noon , but showtime 's uninspired send-up of tv cop show cliches mostly leaves him shooting blanks .",positive
"just when you think you are making sense of it , something happens that tells you there is no sense .",negative
"cuaron repeatedly , perversely undercuts the joie de vivre even as he creates it , giving the movie a mournful undercurrent that places the good-time shenanigans in welcome perspective .",very_positive
a bad movie that happened to good actors .,very_negative
"got some good , organic character work , lots of obvious political insights and little room for engaging , imaginative filmmaking in its nearly 2 1\/2 - hour , dissipated length .",positive
the most consistently funny of the austin powers films .,positive
`` ... something appears to have been lost in the translation this time .,very_negative
the colorful masseur wastes its time on mood rather than riding with the inherent absurdity of ganesh 's rise up the social ladder .,negative
"overall , it 's a pretty mediocre family film .",neutral
"insightfully written , delicately performed",very_positive
-lrb- seagal 's -rrb- strenuous attempt at a change in expression could very well clinch him this year 's razzie .,negative
"if all of eight legged freaks was as entertaining as the final hour , i would have no problem giving it an unqualified recommendation .",neutral
"for all the wit and hoopla , festival in cannes offers rare insight into the structure of relationships .",positive
"a loud , witless mess that has none of the charm and little of the intrigue from the tv series .",very_negative
the last three narcissists left on earth compete for each others ' affections .,neutral
... an enjoyably frothy ` date movie ' ...,very_positive
"a particularly joyless , and exceedingly dull , period coming-of-age tale .",very_negative
"the storytelling may be ordinary , but the cast is one of those all-star reunions that fans of gosford park have come to assume is just another day of brit cinema .",positive
"never having seen the first two films in the series , i ca n't compare friday after next to them , but nothing would change the fact that what we have here is a load of clams left in the broiling sun for a good three days .",very_negative
goes a long way on hedonistic gusto .,neutral
working from a surprisingly sensitive script co-written by gianni romoli ... ozpetek avoids most of the pitfalls you 'd expect in such a potentially sudsy set-up .,very_positive
more intellectually scary than dramatically involving .,negative
about schmidt is undoubtedly one of the finest films of the year .,very_positive
it 's just rather leaden and dull .,very_negative
"its story about a young chinese woman , ah na , who has come to new york city to replace past tragedy with the american dream is one that any art-house moviegoer is likely to find compelling .",positive
"the pain , loneliness and insecurity of the screenwriting process are vividly and painfully brought to slovenly life in this self-deprecating , biting and witty feature written by charlie kaufman and his twin brother , donald , and directed by spike jonze .",positive
plays like one of those conversations that comic book guy on `` the simpsons '' has .,negative
"i was trying to decide what annoyed me most about god is great ... i 'm not , and then i realized that i just did n't care .",very_negative
but fans of the show should not consider this a diss .,neutral
only about as sexy and dangerous as an actress in a role that reminds at every turn of elizabeth berkley 's flopping dolphin-gasm .,negative
"on its icy face , the new film is a subzero version of monsters , inc. , without the latter 's imagination , visual charm or texture .",very_negative
morton deserves an oscar nomination .,very_positive
"offers big , fat , dumb laughs that may make you hate yourself for giving in .",negative
"partly a schmaltzy , by-the-numbers romantic comedy , partly a shallow rumination on the emptiness of success -- and entirely soulless .",very_negative
"the overall fabric is hypnotic , and mr. mattei fosters moments of spontaneous intimacy .",very_positive
a bland animated sequel that hardly seems worth the effort .,negative
there 's just something about watching a squad of psychopathic underdogs whale the tar out of unsuspecting lawmen that reaches across time and distance .,positive
"the film does n't have enough innovation or pizazz to attract teenagers , and it lacks the novel charm that made spy kids a surprising winner with both adults and younger audiences .",very_negative
"though harris is affecting at times , he can not overcome the sense that pumpkin is a mere plot pawn for two directors with far less endearing disabilities .",negative
"the problem is that for the most part , the film is deadly dull .",very_negative
